# ABR CC CHANNEL SSIM
robust_mpc bbr cbs 0.9583975333333333
mpc bbr abc 0.9802035454545454
mpc bbr fox 0.98667475
mpc bbr univision 0.9774221666666668
mpc bbr pbs 0.9796241
robust_mpc bbr pbs 0.9868006645865834
mpc bbr cbs 0.9811435555555555
linear_bba bbr nbc 0.9694564166666667
puffer_ttp_static cubic cbs 0.9840333387096776
pensieve cubic pbs 0.9784715714285713
puffer_ttp_static cubic nbc 0.9753579607843138
mpc cubic fox 0.9810291111111111
mpc cubic abc 0.981416
mpc cubic nbc 0.9774470625
mpc cubic cbs 0.9766488749999999
pensieve cubic cbs 0.9167845000000001
pensieve cubic nbc 0.9761675999999999
pensieve cubic abc 0.995018888888889
pensieve cubic fox 0.9879812999999998
pensieve cubic pbs 0.9882558000000001
puffer_ttp_static cubic abc 0.9789964220183487
mpc cubic nbc 0.9836571666666667
mpc cubic abc 0.9812067987421385
pensieve cubic fox 0.98314684
pensieve cubic abc 0.9800446236842106
robust_mpc cubic cbs 0.9799561840287769
mpc cubic nbc 0.9828195052631582
puffer_ttp_static cubic cbs 0.9726095
puffer_ttp_static cubic fox 0.98753175
mpc bbr cbs 0.9783871428571429
puffer_ttp_static cubic abc 0.9742322608695652
puffer_ttp_static cubic univision 0.9800210638297875
robust_mpc cubic cbs 0.973404625
puffer_ttp_static cubic cbs 0.9828231249999999
puffer_ttp_static bbr cbs 0.9876344285714287
puffer_ttp_static bbr fox 0.9837939
puffer_ttp_static cubic fox 0.9804769999999999
puffer_ttp_static cubic nbc 0.9894884285714286
puffer_ttp_static cubic abc 0.9678551428571429
puffer_ttp_static cubic fox 0.9848775000000001
puffer_ttp_static cubic univision 0.9805274
puffer_ttp_static cubic pbs 0.9863476756756757
mpc cubic cbs 0.98255473480663
puffer_ttp_static cubic nbc 0.9497721666666666
puffer_ttp_static cubic abc 0.9674452727272727
puffer_ttp_static cubic pbs 0.9869253513513514
puffer_ttp_static cubic pbs 0.985577901234568
linear_bba bbr fox 0.9520416923076923
linear_bba bbr abc 0.9699574285714286
linear_bba bbr nbc 0.9754944782608695
robust_mpc bbr nbc 0.9787787777777778
pensieve cubic nbc 0.9856076111111111
mpc bbr pbs 0.9878002309859155
pensieve cubic pbs 0.9856693076923079
pensieve cubic cbs 0.9807896458333333
linear_bba cubic nbc 0.9837167058823529
pensieve cubic cbs 0.9385836249999999
robust_mpc bbr cbs 0.9680649999999998
puffer_ttp_static cubic cbs 0.9488536
puffer_ttp_static cubic nbc 0.9856415999999999
puffer_ttp_static cubic cbs 0.9524440000000001
puffer_ttp_static cubic fox 0.9790249263157893
mpc cubic nbc 0.9810861666666666
pensieve cubic nbc 0.9799798333333334
pensieve cubic cbs 0.99130525
pensieve cubic abc 0.9821091926605504
mpc bbr cbs 0.917455
robust_mpc cubic cbs 0.9698135263157897
puffer_ttp_static bbr pbs 0.9870201
puffer_ttp_static bbr univision 0.982621411764706
