# ABR CC PLAY REBUFFER
puffer_ttp_static bbr 112.094 0.0
linear_bba cubic 5.85 0.0
puffer_ttp_static cubic 39.748 0.0
mpc cubic 37.089 0.0
linear_bba cubic 6.302 0.0
robust_mpc bbr 141.291 0.0
linear_bba bbr 34.498 0.0
linear_bba cubic 138.753 0.0
pensieve bbr 30.91 0.0
mpc cubic 106.043 0.0
puffer_ttp_static cubic 9.803 0.0
puffer_ttp_static cubic 7.149 0.0
puffer_ttp_static cubic 26.503 0.0
pensieve bbr 11.745 0.0
pensieve bbr 14.896 0.0
puffer_ttp_static cubic 2174.905 0.0
linear_bba bbr 79.387 0.0
pensieve bbr 53.06 0.0
puffer_ttp_static bbr 39.775 0.0
mpc cubic 6.861 0.0
mpc cubic 31.247 0.0
mpc bbr 22.576 0.0
puffer_ttp_static bbr 46.518 0.0
mpc cubic 74.406 0.0
pensieve bbr 5.906 0.0
linear_bba cubic 30.851 0.0
mpc cubic 7.848 0.0
robust_mpc bbr 6.316 0.0
mpc cubic 16.146 0.0
mpc bbr 9.944 0.0
pensieve bbr 61.296 0.0
robust_mpc bbr 1216.164 0.0
mpc bbr 8.331 0.0
linear_bba bbr 6.449 0.0
mpc cubic 118.054 0.0
mpc bbr 11.926 0.0
linear_bba bbr 14.7 0.0
mpc bbr 18.478 0.0
puffer_ttp_static bbr 45.706 0.0
pensieve bbr 19.825 0.0
robust_mpc bbr 10.508 0.0
pensieve bbr 5.044 0.0
robust_mpc bbr 29.337 0.0
robust_mpc cubic 9.045 0.0
puffer_ttp_static bbr 15.368 0.0
pensieve bbr 34.152 0.0
robust_mpc cubic 11.248 0.0
puffer_ttp_static bbr 4250.889 0.0
robust_mpc bbr 11.499 0.0
robust_mpc cubic 9.809 0.0
robust_mpc bbr 67.304 0.0
robust_mpc cubic 43.5 0.0
puffer_ttp_static cubic 1145.523 0.0
linear_bba bbr 57.097 0.0
mpc cubic 92.693 0.0
puffer_ttp_static bbr 74.536 0.0
pensieve bbr 119.168 0.0
mpc cubic 20.299 0.0
mpc cubic 7.1 0.0
mpc cubic 12.699 0.0
mpc cubic 9.051 0.0
